time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-06-07T16:07:28.916Z,62.2796,-149.8504,52.2,3.4,ml,,,,0.5,ak,ak02179khbwk,2021-08-24T21:34:33.040Z,"13 km N of Susitna North, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2021-06-07T16:03:25.382Z,56.1285,-149.8232,20.54,3.2,ml,,247,2.204,0.15,us,us7000easw,2021-08-24T21:34:33.040Z,"222 km SE of Chiniak, Alaska",earthquake,9,12.1,0.06,37,reviewed,us,us
2021-06-07T16:00:19.783Z,36.2859,27.1213,10,4.4,mb,,49,0.738,0.83,us,us7000east,2021-08-24T21:34:33.040Z,"36 km S of Mandráki, Greece",earthquake,4.9,1.9,0.155,14,reviewed,us,us
2021-06-07T14:45:22.420Z,33.1843333,-115.6373333,4.93,3.52,mw,65,32,0.01244,0.25,ci,ci39927952,2021-08-28T12:09:57.655Z,"13km WSW of Niland, CA",earthquake,0.2,0.47,,4,reviewed,ci,ci
2021-06-07T14:45:21.020Z,33.1916667,-115.6401667,4.02,2.78,ml,33,50,0.01704,0.22,ci,ci37328020,2021-06-07T17:38:50.024Z,"12km WSW of Niland, CA",earthquake,0.3,0.46,0.147,5,reviewed,ci,ci
2021-06-07T14:17:23.495Z,-44.2805,-16.1385,10,5,mb,,70,16.568,0.34,us,us7000eaq3,2021-08-24T21:34:35.040Z,"southern Mid-Atlantic Ridge",earthquake,9.5,1.8,0.09,43,reviewed,us,us
2021-06-07T14:14:18.132Z,8.6447,127.0288,10,4.3,mb,,138,2.124,0.78,us,us7000ec3i,2021-08-24T21:33:17.040Z,"82 km ENE of Hinatuan, Philippines",earthquake,8.8,1.9,0.142,16,reviewed,us,us
2021-06-07T12:12:50.209Z,54.2939,-161.0666,21.49,2.6,ml,,211,0.973,0.5,us,us7000eat7,2021-08-24T21:34:31.040Z,"117 km SE of King Cove, Alaska",earthquake,4,7.7,0.115,10,reviewed,us,us
2021-06-07T12:08:59.500Z,19.5271,-63.9125,45,4.41,md,25,319,1.8342,0.29,pr,pr2021158003,2021-08-24T21:34:36.040Z,"161 km NE of Cruz Bay, U.S. Virgin Islands",earthquake,2.75,19.1,0.16,12,reviewed,pr,pr
2021-06-07T11:49:58.307Z,10.9641,122.2394,10,4.7,mb,,129,6.838,1,us,us7000eapf,2021-11-18T01:38:40.686Z,"18 km WSW of Jayubó, Philippines",earthquake,11,1.9,0.068,65,reviewed,us,us
2021-06-07T11:47:04.894Z,-20.6489,-178.4225,581.02,4.4,mb,,136,4.408,0.91,us,us7000eanz,2021-08-24T21:34:36.040Z,"Fiji region",earthquake,12.7,7.1,0.073,54,reviewed,us,us
2021-06-07T11:24:54.250Z,19.6295,-64.0056,56,3.75,md,11,333,1.838,0.38,pr,pr2021158002,2021-08-24T21:34:36.040Z,"165 km NNE of Cruz Bay, U.S. Virgin Islands",earthquake,5.56,23.45,0.06,5,reviewed,pr,pr
2021-06-07T10:24:04.283Z,18.7106,146.3967,51.84,4.2,mb,,160,5.299,0.79,us,us7000ec34,2021-08-24T21:33:19.040Z,"Pagan region, Northern Mariana Islands",earthquake,15.7,10,0.167,10,reviewed,us,us
2021-06-07T10:20:07.241Z,0.8373,126.3351,10,4.4,mb,,84,1.033,0.45,us,us7000ec33,2021-08-24T21:33:19.040Z,"116 km W of Ternate, Indonesia",earthquake,7,1.9,0.203,8,reviewed,us,us
